,category,grade,name,socialblade_rank,subscriber_rank,view_rank
0,Music, A++ ,T-Series,1,5,1
1,Howto, A++ ,5-Minute Crafts,3,8,43
2,Entertainment, A++ ,VN Children’s Music,5,24214500,3480
3,Education, A++ ,Cocomelon - Nursery Rhymes,7,28,20
4,People, A++ ,Like Nastya Vlog,9,186,219
5,Entertainment, A+ ,Salih Reis'in Dünyası,11,24408648,278
6,Music, A+ ,U2VEVO,13,9399,1622
7,Entertainment, A+ ,✿ Kids Diana Show,15,152,240
8,Film, A+ ,jorgeembon,17,25231,3893
9,Music, A+ ,netd müzik,18,206,4
10,Tech, A+ ,Google,20,612,652
11,Music, A+ ,Zee Music Company,23,32,29
12,People, A+ ,Boram Tube ToysReview [보람튜브…,25,587,831
13,People, A+ ,سيف SAIIF,27,4193,10305
14,Education, A+ ,Toys and Colors,29,592,324
15,Entertainment, A+ ,one31,31,193,75
16,News, A+ ,YouTube Spotlight,34,34,1017
17,Music, A+ ,El Reino Infantil,36,99,13
18,Music, A+ ,Sony Music India,38,62,88
19,Entertainment, A+ ,CKN Toys,40,311,76
20,Music, A+ ,SonyMusicIndiaVEVO,42,116,101
21,People, A+ ,BLACKPINK,44,126,291
22,Comedy, A+ ,All Of Vines,46,7755,7314
23,Howto, A+ ,HelloMaphie,50,1148,3386
24,Entertainment, A ,LES BOYS TV2,54,24174098,1318
25,Music, A ,1theK (원더케이),57,153,40
26,Music, A ,قناة طيور الجنة | toyoraljanahtv,59,305,70
27,, A ,KutKit Kids,61,24259724,13772
28,Entertainment, A ,Shemaroo,63,191,145
29,Music, A ,Maroon5VEVO,66,130,42
30,Music, A ,RSDivulga - Funk,68,38066,18585
31,Entertainment, A ,NIMAGAP TV,72,29370,19617
32,Entertainment, A ,z a m,75,27257,20172
33,Entertainment, A ,Indosiar,79,1234,510
34,Music, A ,La Granja de Zenón,81,273,167
35,Entertainment, A ,FilmKritikTV,83,62478,20935
36,Entertainment, A ,Family GamesTV,85,24429248,732
37,Education, A ,Pinkfong! Kids' Songs & Stories,87,179,119
38,Entertainment, A ,Webs & Tiaras - Toy Monster Compilations,90,558,118
39,Entertainment, A ,SuperToyzCollector,90,774,1730
40,News, A ,Aaj Tak,93,213,371
41,Howto, A ,Izabela Stress,99,1670,1768
42,, A ,Boong Family,101,17693,20433
43,Howto, A ,LY LY ToysReview,103,24250077,20140
44,Music, A ,Galinha Pintadinha,105,147,55
45,Music, A ,Bounce Patrol Kids,107,903,399
46,Entertainment, A ,ThaiCh8 : ช่อง 8,109,743,241
47,People, A ,mmoshaya,111,405,214
