,category,created,name,subscribers,uploads,views
0,Music,2006-03-13,T-Series,75544288,12922,55831048054
1,Howto,2016-11-15,5-Minute Crafts,43993981,2480,10994564885
2,Entertainment,2015-07-20,VN Children’s Music,0,128,626679547
3,Education,2006-09-01,Cocomelon - Nursery Rhymes,29627795,386,15233417015
4,People,2016-12-06,Like Nastya Vlog,13180727,193,4655061744
5,Entertainment,2016-02-14,Salih Reis'in Dünyası,0,305,4005712224
6,Music,2009-05-12,U2VEVO,1057234,99,1158655580
7,Entertainment,2015-05-12,✿ Kids Diana Show,14542931,516,4375020758
8,Film,2006-10-13,jorgeembon,438045,502,571283811
9,Music,2014-01-23,netd müzik,12410846,9132,26075394986
10,Tech,2005-09-18,Google,6877659,2172,2318611971
11,Music,2014-03-12,Zee Music Company,28090175,3676,13540612861
12,People,2016-05-18,Boram Tube ToysReview [보람튜브…,7154300,173,1933610700
13,People,2016-07-17,سيف SAIIF,1942209,99,246426194
14,Education,2016-03-17,Toys and Colors,7039790,177,3684704548
15,Entertainment,2013-01-10,one31,12868270,47493,8863151136
16,News,1900-01-01,YouTube Spotlight,27888596,287,1676251659
17,Music,2011-06-02,El Reino Infantil,17785866,637,17875862536
18,Music,2009-09-02,Sony Music India,20776398,2332,8277037020
19,Entertainment,2015-03-28,CKN Toys,10320737,469,8842860491
20,Music,2009-09-02,SonyMusicIndiaVEVO,16548929,3003,7447031962
21,People,2016-06-29,BLACKPINK,15871806,203,3887476837
22,Comedy,2015-01-24,All Of Vines,1240056,246,333380549
23,Howto,2009-12-06,HelloMaphie,4658877,467,642729726
24,Entertainment,2017-02-07,LES BOYS TV2,0,136,1380054881
25,Music,2011-01-31,1theK (원더케이),14400628,14082,11605303072
26,Music,2008-11-24,قناة طيور الجنة | toyoraljanahtv,10418696,2259,9412548905
27,,2011-10-03,KutKit Kids,0,254,187189527
28,Entertainment,2007-09-01,Shemaroo,12888344,6506,5906383358
29,Music,2009-05-12,Maroon5VEVO,15638687,112,11447549362
30,Music,2007-04-11,RSDivulga - Funk,293278,9,141942786
31,Entertainment,2016-09-07,NIMAGAP TV,379363,1269,134869424
32,Entertainment,2015-02-16,z a m,407672,1236,131382309
33,Entertainment,2013-09-23,Indosiar,4380123,19691,2684468381
34,Music,2013-06-06,La Granja de Zenón,10866196,163,5519782160
35,Entertainment,2010-01-20,FilmKritikTV,174177,622,127119340
36,Entertainment,2016-01-26,Family GamesTV,0,322,2115314497
37,Education,2011-12-14,Pinkfong! Kids' Songs & Stories,13356431,1091,6730766097
38,Entertainment,2015-09-23,Webs & Tiaras - Toy Monster Compilations,7203358,62,6727576995
39,Entertainment,2013-08-03,SuperToyzCollector,5986470,163,1100917059
40,News,2009-08-27,Aaj Tak,12268910,82566,3336366847
41,Howto,2016-02-05,Izabela Stress,3675400,427,1082442055
42,,2013-09-27,Boong Family,617259,59,132682349
43,Howto,2007-11-09,LY LY ToysReview,0,75,132758008
44,Music,2006-08-30,Galinha Pintadinha,14609709,47,10349076814
45,Music,2013-01-01,Bounce Patrol Kids,5313322,150,3206759265
46,Entertainment,2011-10-17,ThaiCh8 : ช่อง 8,6080783,42830,4351462393
47,People,2010-12-11,mmoshaya,8699273,758,4745556240
48,Entertainment,2013-11-03,CookieSwirlC,10316240,2975,10063495577
49,People,2017-11-28,ABC Kids TV,0,221,1125013262
50,Music,2015-04-06,Marshmello,23364586,236,4098684772
51,Sports,2008-12-05,cricket.com.au,1818628,6877,548157878
52,,2017-02-28,Mr. Tsismoso,186856,1863,117221760
53,Music,2014-08-10,Wave Music - Bhojpuri,7536804,15371,4201614149
54,Music,2009-05-12,EminemVEVO,26493958,83,12209647867
55,Comedy,2018-07-20,FV FAMILY,1297010,448,459557383
56,Film,2016-03-13,OYUNCAKOYNUYORUM,3504918,540,1614529859
57,,2015-05-12,SHN MOVIES,0,7,7249626
58,Film,2015-09-12,Goldmines,7198936,362,1053351219
59,,2017-10-20,Funny TV show,470821,46,100788644
60,Film,2015-03-29,shfa,3093471,424,1052113038
61,Film,2012-09-27,Nick Jr.,4489507,2185,3725302603
62,Music,2010-11-08,GMM GRAMMY OFFICIAL,14351496,6123,14259893905
63,Music,2012-08-25,Alan Walker,19956946,164,5386255760
64,Music,2012-03-15,Worldwide Records Bhojpuri,7164215,2056,3422792132
65,Film,2013-09-27,Hasbro,2920806,9027,3945847918
66,Entertainment,2005-10-22,LEGO,6811353,19685,8607854711
67,People,2012-06-01,ABP NEWS,8135528,115296,2649785742
68,Music,2012-01-23,ImagineDragonsVEVO,10651318,98,5947976478
69,People,2016-05-11,Давай поиграем в игрушки,5594628,220,1695914449
70,Entertainment,2015-07-28,RCTI - LAYAR DRAMA INDONESIA,3487883,29954,2982794359
71,Howto,2017-03-15,BRIGHT SIDE,21116365,1954,3828391006
72,Entertainment,2016-07-11,ARY Digital,5223477,16230,2592410408
73,Shows,2007-02-01,Vijay Television,7466151,20028,4391109706
74,,2017-04-14,Muskan jaan,0,234,100626259
75,Entertainment,2013-11-21,LetsGoMartin - Nursery Rhymes,5732211,215,1588127831
76,Games,2015-08-18,Laz Oyun Oynay,434993,803,84520676
77,Entertainment,2014-09-22,Mister Max,10134280,707,6409763173
78,Education,2016-07-15,BabyBus - Kids TV - Songs & Stories,3093627,1114,2101587050
79,,2018-04-06,Tekashi 6ix9ine,6144092,4,1132880810
80,Music,2008-06-04,ibighit,19284206,280,4148354481
81,Music,2012-09-04,BeckyGVEVO,6640526,53,4228007770
82,Entertainment,2012-08-24,Fischer's-フィッシャーズ-,5253316,1699,6003031260
83,People,2015-09-06,Maria Clara & JP,6360280,405,1647119198
84,Film,2012-06-04,HTV2-Vie Channel,4928652,6258,2637711027
85,Games,2012-02-12,rezendeevil,21123414,6906,7301278993
86,People,2014-12-19,David Dobrik,10133751,521,3544586273
87,Education,2011-06-22,Little Baby Bum - Nursery Rhymes & Kids Songs,17121077,761,18060198768
88,News,2016-04-20,Raffy Tulfo in Action,2418491,1972,1100942516
89,Howto,2011-11-02,Ly LY FamilyShow,38592,51,81616904
90,Music,2012-09-23,Trap Nation,24074600,1541,8379704018
91,Entertainment,2015-07-17,La Rosa de Guadalupe,4639480,1610,1853240447
92,Music,2009-05-12,LadyGagaVEVO,9413127,147,6093362640
93,Music,2012-10-22,ChainsmokersVEVO,12358838,131,7910061718
94,People,2015-10-14,Zalfa Aulia Channel,817989,291,238012307
95,Music,2014-05-06,SebastianYatraVEVO,2864694,24,2686083556
96,Entertainment,2015-01-04,YoungBoy Never Broke Again,4017785,194,2223706002
97,Music,2009-07-25,Ajay Yuvraj,229934,12004,151767157
