category,date,earnings,subscribers,views
Animals,2018-12-03,674,2083417,735286614
Animals,2018-12-04,394,1902359,669109801
Animals,2018-12-05,375,2095582,735624820
Animals,2018-12-06,375,2102038,725683869
Animals,2018-12-07,362,2107472,735924726
Animals,2018-12-08,383,1923684,673714589
Animals,2018-12-09,343,1928049,679565975
Animals,2018-12-10,335,2122846,731133352
Animals,2018-12-11,361,2127169,736440628
Animals,2018-12-12,1486,1783769,616197103
Animals,2018-12-13,353,1788181,618568807
Animals,2018-12-14,362,1786616,618820547
Animals,2018-12-15,388,1791044,618820547
Animals,2018-12-16,11,2585203,1030070596
Autos,2018-12-03,1015,1336700,379393438
Autos,2018-12-04,283,1338797,385413630
Autos,2018-12-05,349,1340880,380057848
Autos,2018-12-06,421,1342902,387877303
Autos,2018-12-07,336,1344849,380669315
Autos,2018-12-08,299,1347227,389772655
Autos,2018-12-09,324,1349647,381328984
Autos,2018-12-10,256,1351950,391467594
Autos,2018-12-11,216,1353816,381868253
Autos,2018-12-12,192,1172275,351668173
Autos,2018-12-13,201,1357866,382406642
Autos,2018-12-14,203,1356401,382985561
Autos,2018-12-15,222,1358429,382985561
Comedy,2018-12-03,412,4965872,1278865484
Comedy,2018-12-04,487,4972708,1271346898
Comedy,2018-12-05,767,4980407,1279995509
Comedy,2018-12-06,604,4988447,1275089308
Comedy,2018-12-07,463,4691642,1100442309
Comedy,2018-12-08,573,4692229,1076734853
Comedy,2018-12-09,566,5014746,1283413651
Comedy,2018-12-10,489,5022792,1278818072
Comedy,2018-12-11,470,5030044,1284693056
Comedy,2018-12-12,455,5037352,1281301802
Comedy,2018-12-13,1304,5044571,1285949576
Comedy,2018-12-14,472,5042632,1287115266
Comedy,2018-12-15,465,5049831,1287145779
Comedy,2018-12-16,10,2562739,407188287
Education,2018-12-03,725,3161263,1488767605
Education,2018-12-04,496,2525447,1142863048
Education,2018-12-05,804,3124550,1465333957
Education,2018-12-06,917,3174410,1500760525
Education,2018-12-07,571,2731099,1248263766
Education,2018-12-08,880,3238098,1511009591
Education,2018-12-09,1086,3246096,1520531015
Education,2018-12-10,758,3162108,1464842273
Education,2018-12-11,800,3168797,1470625818
Education,2018-12-12,805,3175909,1469704346
Education,2018-12-13,791,3182839,1472147825
Education,2018-12-14,541,3218639,1498900988
Education,2018-12-15,719,3186080,1473541201
Education,2018-12-16,25,2208076,540894223
Entertainment,2018-12-03,521,2835133,1218648966
Entertainment,2018-12-04,629,2840606,1207869985
Entertainment,2018-12-05,549,2833157,1218440844
Entertainment,2018-12-06,501,2862740,1215146102
Entertainment,2018-12-07,501,2852916,1220734724
Entertainment,2018-12-08,685,2856258,1211572098
Entertainment,2018-12-09,565,2841944,1216609614
Entertainment,2018-12-10,497,2880866,1221337779
Entertainment,2018-12-11,486,2864695,1218330309
Entertainment,2018-12-12,487,2868539,1212726981
Entertainment,2018-12-13,486,2870359,1210943612
Entertainment,2018-12-14,570,2875376,1216998239
Entertainment,2018-12-15,532,2876162,1215830962
Entertainment,2018-12-16,6,1844820,583013207
Film,2018-12-03,453,2170334,1034857265
Film,2018-12-04,516,2113650,1029307042
Film,2018-12-05,437,2166441,1044813087
Film,2018-12-06,861,2162651,1023248374
Film,2018-12-07,514,2145218,1049438955
Film,2018-12-08,674,2162184,1040579317
Film,2018-12-09,461,2166671,1045535874
Film,2018-12-10,418,2171216,1043190813
Film,2018-12-11,471,2130130,1035260462
Film,2018-12-12,470,2180055,1045869174
Film,2018-12-13,443,2224172,1067051647
Film,2018-12-14,444,2173208,1043461956
Film,2018-12-15,421,2151442,1029263628
Film,2018-12-16,3,1119237,595044242
Games,2018-12-03,598,4748953,1808293770
Games,2018-12-04,426,4801825,1823907167
Games,2018-12-05,407,4760172,1808895354
Games,2018-12-06,414,4765800,1807710276
Games,2018-12-07,411,4771238,1809485745
Games,2018-12-08,539,4778185,1810806439
Games,2018-12-09,525,4734661,1790973192
Games,2018-12-10,382,4670625,1776209115
Games,2018-12-11,387,4462133,1738757444
Games,2018-12-12,387,4749690,1790090017
