,,category,name,monthly_earnings,subscribers,views,uploads
0,259,Animals,Maymo,21100,3156432,1385288131,292
0,368,Animals,Louie The Beagle,20700,1284815,436664461,238
0,716,Animals,SMG TUBE,7500,142975,41551016,84
0,1325,Animals,Hope For Paws - Official Rescue Channel,5800,3535933,799856630,384
0,1600,Animals,cobra123473,500,2585203,1030112858,2486
1,310,Autos,Dekja,21300,2986447,1352780988,1107
1,1189,Autos,Moto Madness,7800,2829004,626861981,1215
1,1132,Autos,Toyota Motor Thailand,6100,115172,230564586,820
1,1075,Autos,AcademeG,5600,3166383,609808356,471
1,745,Autos,TOYOTA GAZOO Racing,5300,67708,97347171,1160
2,55,Comedy,FV FAMILY,49100,1297010,459557383,448
2,22,Comedy,All Of Vines,43500,1240056,333380549,246
2,106,Comedy,東海オンエア,38900,3939661,3089604390,1169
2,219,Comedy,The Tonight Show Starring Jimmy Fallon,37300,19163718,10286134376,4876
2,136,Comedy,Jkk Entertainment,32400,3990362,756095268,70
3,3,Education,Cocomelon - Nursery Rhymes,316100,29627795,15233417015,386
3,14,Education,Toys and Colors,117600,7039790,3684704548,177
3,37,Education,Pinkfong! Kids' Songs & Stories,63500,13356431,6730766097,1091
3,78,Education,BabyBus - Kids TV - Songs & Stories,45600,3093627,2101587050,1114
3,87,Education,Little Baby Bum - Nursery Rhymes & Kids Songs,42300,17121077,18060198768,761
4,7,Entertainment,✿ Kids Diana Show,149800,14542931,4375020758,516
4,15,Entertainment,one31,110300,12868270,8863151136,47493
4,19,Entertainment,CKN Toys,96800,10320737,8842860491,469
4,28,Entertainment,Shemaroo,76500,12888344,5906383358,6506
4,39,Entertainment,SuperToyzCollector,70500,5986470,1100917059,163
5,8,Film,jorgeembon,64700,438045,571283811,502
5,58,Film,Goldmines,55900,7198936,1053351219,362
5,56,Film,OYUNCAKOYNUYORUM,51800,3504918,1614529859,540
5,61,Film,Nick Jr.,49300,4489507,3725302603,2185
5,84,Film,HTV2-Vie Channel,38800,4928652,2637711027,6258
6,99,Games,Hong Giang DIY Slime,44800,3652518,1023441837,396
6,156,Games,DanTDM,43700,20716910,14006688088,2996
6,85,Games,rezendeevil,43500,21123414,7301278993,6906
6,143,Games,Jelly,33200,9960540,3732871865,3102
6,148,Games,Lachlan,32900,9434971,2299008996,3081
7,23,Howto,HelloMaphie,76800,4658877,642729726,467
7,71,Howto,BRIGHT SIDE,49100,21116365,3828391006,1954
7,147,Howto,ToysPlay,27600,1510545,740729123,121
7,213,Howto,5-Minute Crafts KIDS,27200,8970177,1656309427,1211
7,279,Howto,Трум Трум,22500,6335286,1783927858,720
8,9,Music,netd müzik,153500,12410846,26075394986,9132
8,11,Music,Zee Music Company,125300,28090175,13540612861,3676
8,18,Music,Sony Music India,100700,20776398,8277037020,2332
8,20,Music,SonyMusicIndiaVEVO,94700,16548929,7447031962,3003
8,25,Music,1theK (원더케이),77200,14400628,11605303072,14082
9,16,News,YouTube Spotlight,62200,27888596,1676251659,287
9,40,News,Aaj Tak,48800,12268910,3336366847,82566
9,132,News,Inside Edition,39200,5091335,6147337830,15633
9,150,News,AMARIN TVHD,37400,4199796,3250610263,73587
9,130,News,The Lallantop,29900,5059021,879269656,4968
10,318,Nonprofit,TEDx Talks,20400,16011116,2918934719,124580
10,961,Nonprofit,Jubilee,11300,2117117,271654556,352
10,1468,Nonprofit,Southeastern Guide Dogs,5800,104038,27629472,135
10,1272,Nonprofit,TeletonMexico,4500,59821,41248181,929
11,4,People,Like Nastya Vlog,170500,13180727,4655061744,193
11,21,People,BLACKPINK,96600,15871806,3887476837,203
11,47,People,mmoshaya,56800,8699273,4745556240,758
11,83,People,Maria Clara & JP,46100,6360280,1647119198,405
11,86,People,David Dobrik,43300,10133751,3544586273,521
12,73,Shows,Vijay Television,45900,7466151,4391109706,20028
12,153,Shows,Sony PAL,28500,3989515,1966157500,8245
12,536,Shows,КУКУТИКИ - Детские…,13700,1589580,1492271479,191
12,1498,Shows,Малышарики,5200,605644,491333570,323
12,409,Shows,EBS Kids,1600,1864456,2771530164,19611
13,51,Sports,cricket.com.au,39600,1818628,548157878,6877
13,183,Sports,Toy For Kids [토이포키즈],34300,1119730,290965153,67
13,206,Sports,NFL,26600,4248972,2553251960,15349
13,416,Sports,FutParódias,17500,5599247,1317375974,215
13,411,Sports,CliveNBAParody,14200,836508,558058815,3433
14,272,Tech,Google India,29100,1898612,1651553412,306
14,647,Tech,YASH KE EXPERIMENTS,17800,1501671,274082404,137
14,547,Tech,Unbox Therapy,14400,13388083,2524610276,1492
14,642,Tech,Technical Guruji,13400,10668354,944720669,2004
14,551,Tech,Made by Google,12500,568524,125022064,119
15,144,Travel,Wheel & Dice,30100,100094,62188730,109
15,387,Travel,Travel Thirsty,20400,2711007,932649862,398
15,717,Travel,INSIDER,10900,3459576,1722427430,6441
15,890,Travel,Mark Wiens,10500,3290242,607606615,911
15,842,Travel,Scn sujla,6700,435244,80062535,706
